Source URL: https://raw.githubusercontent.com/liquidslr/interview-company-wise-problems/main/Google/3.%20Six%20Months.csv
Title: 3.%20Six%20Months.csv
Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,Links
MEDIUM,Add Two Numbers,72.9,0.004870063729877811,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/add-two-numbers""}]"
MEDIUM,Longest Substring Without Repeating Characters,68.1,0.003929948695127628,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/longest-substring-without-repeating-characters""}]"
HARD,Trapping Rain Water,67.5,0.006761504798961188,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/trapping-rain-water""}]"
MEDIUM,Longest Palindromic Substring,66.6,0.003804637344946908,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/longest-palindromic-substring""}]"
HARD,Median of Two Sorted Arrays,66.3,0.00468439397199117,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/median-of-two-sorted-arrays""}]"
MEDIUM,3Sum,66.3,0.0039301112894111895,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/3sum""}]"
MEDIUM,Container With Most Water,65.0,0.006024271383816968,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/container-with-most-water""}]"
MEDIUM,Longest Consecutive Sequence,64.0,0.004714857584942529,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/longest-consecutive-sequence""}]"
MEDIUM,Reverse Integer,61.7,0.003204599939265856,https://leetcode.com/problems/reverse-integer,Math,"[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/reverse-integer""}]"
MEDIUM,Maximum Subarray,61.7,0.005347372327007454,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/maximum-subarray""}]"
MEDIUM,Merge Intervals,60.9,0.005211655273418328,https://leetcode.com/problems/merge-intervals,"Array, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/merge-intervals""}]"
MEDIUM,Subarray Sum Equals K,60.4,0.00475665051610676,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/subarray-sum-equals-k""}]"
MEDIUM,Number of Islands,56.5,0.006459346033141788,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/number-of-islands""}]"
MEDIUM,Spiral Matrix,56.0,0.005707369423514399,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/spiral-matrix""}]"
MEDIUM,Koko Eating Bananas,56.0,0.005015268911300806,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/koko-eating-bananas""}]"
MEDIUM,Top K Frequent Elements,54.8,0.006670456880930464,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/top-k-frequent-elements""}]"
MEDIUM,Kth Largest Element in an Array,53.5,0.006903915321782457,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/kth-largest-element-in-an-array""}]"
MEDIUM,Next Permutation,52.9,0.004551814641811388,https://leetcode.com/problems/next-permutation,"Array, Two Pointers","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/next-permutation""}]"
MEDIUM,Group Anagrams,52.9,0.007279886824283239,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/group-anagrams""}]"
MEDIUM,Search in Rotated Sorted Array,52.2,0.004509752287755011,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/search-in-rotated-sorted-array""}]"
HARD,N-Queens,52.2,0.007584675820107154,https://leetcode.com/problems/n-queens,"Array, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/n-queens""}]"
MEDIUM,LRU Cache,52.2,0.004754619276338003,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/lru-cache""}]"
